name,N_inner,N_annulus,A_ap_geom,A_ann_geom,A_ap_eff,A_ann_eff,A_ap_eff_over_geom,A_ann_eff_over_geom,f_cov_ap_geom,f_cov_ann_geom,cov_ap_depthw,cov_ann_depthw,coverage_ok_ap,coverage_ok_ann,coverage_ok_both,good_ap_area,good_ann_area,N_inner_color,N_annulus_color,median_color,N_inner_Pblue,N_annulus_Pblue,matched_color_Pblue_samples,Pblue_mean_inner,Pblue_mean_annulus,median_color_inner,median_color_annulus,mean_color_inner,mean_color_annulus,Pblue_mean_IE_contrast,mean_color_IE_contrast,median_color_IE_contrast,alpha_eff,alpha_geom,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,fb,fb_err,mu_blue,mu_blue_err,mu_red,mu_red_err,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_inner_exp,Delta_median_color_inner,median_color_annulus_exp,Delta_median_color_annulus,median_color_IE_contrast_exp,Delta_median_color_IE_contrast,mean_color_inner_exp,Delta_mean_color_inner,mean_color_annulus_exp,Delta_mean_color_annulus,mean_color_IE_contrast_exp,Delta_mean_color_IE_contrast,Pblue_mean_inner_exp,Delta_Pblue_mean_inner,Pblue_mean_annulus_exp,Delta_Pblue_mean_annulus,Pblue_mean_IE_contrast_exp,Delta_Pblue_mean_IE_contrast,gc_voronoi_density_arcsec2_inv
LEDA 126771,996,2718,7105.498434652183,28421.993738608737,14504.062985445711,52281.353607793535,2.041244976525801,1.839468198065711,1.0,0.9996,2.041244976525801,1.839468198065711,True,True,True,True,True,985,2612,1.507477001,985,2612,True,0.49273873672741214,0.4560634926934097,1.507477001,1.560318313,1.5211868499167511,1.584645055952144,0.03667524403400246,-0.06345820603539298,-0.052841311999999974,0.27742324910431554,0.24999999999999997,485.34765567650095,1191.237842915186,0.2841352129001552,0.29201399089933167,0.3549465401443096,0.35744603511212225,True,True,10,0.493594986299896,0.00912454939085086,0.493594986299896,0.00912454939085086,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687523,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.506731496225449,0.0007455047745510424,1.4533516731394946,0.10696663986050536,0.05150199452233134,-0.10434330652233131,1.5071856789517564,0.014001170964994758,1.4799371770681133,0.10470787888403077,0.03221913390104569,-0.09567733993643868,0.5721387791445911,-0.07940004241717896,0.5882778633702627,-0.132214370676853,-0.020136482532426503,0.056811726566428966,0.18529707122288905
SDSS J130033.33+275849.3,9,20,937.5218308173672,3750.0873232694685,937.5218308173672,3750.0873232694685,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,9,19,1.360935226,9,19,True,0.6532995013680533,0.6413793308117576,1.360935226,1.398625601,1.4467399074444445,1.4704852778421054,0.011920170556295684,-0.023745370397660892,-0.03769037499999994,0.25000000000000006,0.25000000000000006,5.879695512312479,12.186207285423395,0.21874207758134745,0.24878629048874346,0.22363810058491634,0.38155057977720763,False,True,10,,,,,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179405,10558192.339535872,11.238010979748395,10.585858629837155,11.548665794849926,11.238010979748395,1.4822116900288616,-0.1212764640288615,1.4457863035575107,-0.0471607025575107,0.03769189646571783,-0.07538227146571777,1.4745455941633598,-0.027805686718915368,1.4772855640048181,-0.006800286162712776,0.010786491562286282,-0.034531861959947174,0.6053220208377682,0.047977480530285055,0.5898409893925471,0.05153834141921043,0.005171016180829213,0.006749154375466471,0.005756241246724886
2MASX J12592536+2756038,59,81,543.9338566177796,2175.735426471118,543.9338566177796,2175.735426471118,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,55,77,1.555319161,55,77,True,0.5831631479345774,0.530975870511644,1.555319161,1.535775784,1.5171374055818183,1.555485150779221,0.05218727742293339,-0.03834774519740258,0.019543376999999973,0.25000000000000006,0.25000000000000006,32.073973136401754,40.88514202939658,0.20150530628448313,0.24663735568577866,0.23960702737800924,0.27488874806023994,True,True,10,0.5839212827763589,0.02537656593594937,0.5839212827763589,0.02537656593594937,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.7297440817429175,9.780915934680483,2.7297440817429175,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.505907658468018,0.0494115025319819,1.4530974852776255,0.08267829872237442,0.051037990846215686,-0.03149461384621571,1.506089009017303,0.011048396564515395,1.4798480858680392,0.07563706491118172,0.03149902135779736,-0.06984676655519995,0.5732536985367597,0.009909449397817682,0.5883303826367876,-0.05735451212514364,-0.019286179197279707,0.0714734566202131,0.03847207020359714
GMP 2550,0,0,0.04293430012572778,0.1717372005029111,0.04293430012572778,0.1717372005029111,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,0,0,True,,,,,,,,,,0.25,0.25,,,,,,,False,False,10,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,,,,,,,,,,,
SDSS J125942.36+280158.5,3,8,86.83772465062565,347.3508986025024,86.83772465062565,347.3508986025024,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,3,8,1.542382231,3,8,True,0.649376263037515,0.7399949329761768,1.542382231,1.3233241355,1.5045554173333333,1.3200121075000002,-0.09061866993866186,0.1845433098333331,0.21905809549999988,0.2500000000000001,0.2500000000000001,1.9481287891125447,5.919959463809414,0.109796177883767,0.07374468646114524,0.12431365268120097,0.17372417190070497,False,True,10,,,,,,,,,194.92654,28.03292,G,0.0263,18.76,,,,,,,,,7.01,,,NED,,,2007SDSS6.C...0000:,-16.24,False,0.87625,Regular galaxies,,3830.719656152631,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.76000022888184,SIMBAD,,,,,-16.239999771118164,0.87625,0.87625,SIMBAD_proxy(maj/8),True,3.2,2.8040000000000003,,,,,,,1.0,0.0,4.658388816802186,6.5950896621409445,4.658388816802186,NGC 4874,4.420100998732925,16892294.263873734,3.739317684323733,6.205568933008458,7.239094258789691,3.739317684323733,1.4766990392874262,0.06568319171257375,1.4440854238726966,-0.12076128837269651,0.03458704944202143,0.18447104605797846,1.467207306651352,0.037348110681981295,1.4766894166861084,-0.15667730918610823,0.005967910586057945,0.17857539924727517,0.6127824232755568,0.03659383976195818,0.5901924182642363,0.1498025147119405,0.01086075942051773,-0.10147942935917958,0.022387615865510524
[EDG2007] 265,0,0,,,,,,,,,,,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,,,,,,,,False,False,10,,,,,,,,,194.9585970391,27.926986743809994,G,0.0324991497951559,18.7,19.808,1.1079998,,,,16.79,,,,,,,,,,-16.3,False,,Regular galaxies,S0,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.700000762939453,SIMBAD,,,,,-16.299999237060547,,,,False,3.0,,,,,1.1079998016357422,B-V,,1.0,0.0,3.714364178304284,4.987373806968976,3.714364178304284,NGC 4874,2.502206745942982,35382194.38556053,3.1039547875919764,0.6575491425886265,1.5233465223901925,3.1039547875919764,,,,,,,,,,,,,,,,,,,
SDSS J125926.45+275124.7,7,1,293.7341386009883,1174.936554403953,293.7341386009883,1174.936554403953,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,7,1,1.535569439,7,1,True,0.6453754765802187,0.7850895533806558,1.535569439,1.356876971,1.5233003150000002,1.356876971,-0.13971407680043713,0.16642334400000025,0.17869246800000016,0.25,0.25,4.517628336061531,0.7850895533806558,0.09395142682294472,,0.1394301033975799,,False,True,10,,,,,,,,,194.860237,27.856882,AG?,0.0166,17.72,19.12,1.4000015,18.222,17.548,17.219,17.109,0.6739998,1.0030003,5.7,,,NED,,,2007SDSS6.C...0000:,-17.28,False,0.7125,Other,,1989.313383896663,False,1.2376674440486587e+18,1.636773,1.6115768694940298,18.40277,17.78439,17.48174,0.01155121,0.009478468,0.01134825,0.03713348,0.02568877,0.01908951,18.36563652,17.75870123,17.462650489999998,True,0.6069352899999991,0.902986030000001,18.21467,17.54108,17.2171,0.01133046,0.009241914,0.01105062,18.17753652,17.515391230000002,17.198010489999998,17.997544698899997,0.0073282627513608,"SDSS(cModelMag g,r)",17.997544698899997,SDSS,Vmag_sdss,0.902986030000001,0.6069352899999991,SDSS(cModel extcorr),-17.002455301100003,0.7125,1.6115768694940298,SDSS,False,3.2,5.157045982380896,,,,0.902986030000001,g-i,,1.0,0.0,6.473196152724098,11.686638514517263,6.473196152724098,NGC 4874,8.726999228596645,5125597.822852792,7.689057200125938,6.40682711892343,5.182358592542751,7.689057200125938,1.49034107012397,0.04522836887602999,1.4482945519669326,-0.09141758096693264,0.042270543431881774,0.13642192456811839,1.4853671990918027,0.03793311590819748,1.478164688834919,-0.12128771783491898,0.017892342832780572,0.14853100116721968,0.5943203358183637,0.05105514076185491,0.5893227452649294,0.19576680811572633,-0.00321951817523608,-0.13649455862520105,0.003731760168405229
[EDG2007] 205,0,0,8.946175954949059,35.784703819796235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,0.25,,,,,,,False,False,10,,,,,,,,,194.95266666666663,28.06555555555555,G,0.0248738745789262,16.402,16.86,0.45800018,,,,15.43,,,2.25,,,NED,,,2007SDSS6.C...0000:,-18.598,False,0.28125,Regular galaxies,S0,1164.8829837900923,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,16.402000427246094,SIMBAD,,,,,-18.597999572753903,0.28125,0.28125,SIMBAD_proxy(maj/8),True,3.0,0.84375,,,,0.4580001831054687,B-V,,1.0,0.0,6.987802776110886,6.83039169356473,6.83039169356473,NGC 4889,5.889335488482466,8666233.075343845,5.8560654656329945,8.072721870488818,9.230912364552152,5.8560654656329945,,,,,,,,,,,,,,,,,,,
SDSS J125928.50+280109.3,8,14,253.41298051652055,1013.6519220660823,253.41298051652055,1013.6519220660823,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,8,14,1.6217468935000001,8,14,True,0.4416006101223321,0.6827758133610409,1.6217468935000001,1.4003391265,1.6631616606250001,1.3861169930714288,-0.24117520323870878,0.2770446675535714,0.2214077670000001,0.24999999999999997,0.24999999999999997,3.5328048809786567,9.558861387054572,0.3368698138411721,0.13887369244821018,0.38095840621171545,0.23425854941615876,False,True,10,,,,,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.138373286,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.4729004848668876,0.1488464086331125,1.442913413464529,-0.04257428696452892,0.03244761943998822,0.18896014756001187,1.4621507765399122,0.20101088408508794,1.4762786346251744,-0.09016164155374562,0.002647612797120058,0.2743970547564513,0.6179230980594772,-0.1763224879371451,0.5904345743079751,0.0923412390530658,0.014781341432433814,-0.2559565446711426,0.013558876877092237
LEDA 1821898,14,35,187.7649764592416,751.0599058369664,187.7649764592416,751.0599058369664,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,10,34,1.6965626645,10,34,True,0.48171303538932736,0.612473432901826,1.6965626645,1.4360413075,1.6713089168,1.4795069170294117,-0.13076039751249863,0.1918019997705882,0.260521357,0.25,0.25,4.8171303538932735,20.824096718662084,0.18224753499630691,0.19956418838671044,0.11349122634833991,0.25462234804975603,True,True,10,0.484661883885631,0.05069129764999362,0.484661883885631,0.05069129764999362,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.4342679199519517,2.6925663184285145,1.479808809864319,0.2167538546356811,1.4450449161109609,-0.009003608610960834,0.03633854112413912,0.2241828158758609,1.4713469468462392,0.1999619699537607,1.4770257125042494,0.002481204525162317,0.008686145795413547,0.18311585397517466,0.6085738961837838,-0.1268608607944564,0.5899941718640362,0.022479261037789744,0.0076510882574484795,-0.1384114857699471,0.05406879529484777
