name,N_inner,N_annulus,A_ap_geom,A_ann_geom,A_ap_eff,A_ann_eff,A_ap_eff_over_geom,A_ann_eff_over_geom,f_cov_ap_geom,f_cov_ann_geom,cov_ap_depthw,cov_ann_depthw,coverage_ok_ap,coverage_ok_ann,coverage_ok_both,good_ap_area,good_ann_area,N_inner_color,N_annulus_color,median_color,N_inner_Pblue,N_annulus_Pblue,matched_color_Pblue_samples,Pblue_mean_inner,Pblue_mean_annulus,median_color_inner,median_color_annulus,mean_color_inner,mean_color_annulus,Pblue_mean_IE_contrast,mean_color_IE_contrast,median_color_IE_contrast,alpha_eff,alpha_geom,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,fb,fb_err,mu_blue,mu_blue_err,mu_red,mu_red_err,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_inner_exp,Delta_median_color_inner,median_color_annulus_exp,Delta_median_color_annulus,median_color_IE_contrast_exp,Delta_median_color_IE_contrast,mean_color_inner_exp,Delta_mean_color_inner,mean_color_annulus_exp,Delta_mean_color_annulus,mean_color_IE_contrast_exp,Delta_mean_color_IE_contrast,Pblue_mean_inner_exp,Delta_Pblue_mean_inner,Pblue_mean_annulus_exp,Delta_Pblue_mean_annulus,Pblue_mean_IE_contrast_exp,Delta_Pblue_mean_IE_contrast,gc_voronoi_density_arcsec2_inv
LEDA 126771,1319,1427,12631.997217159436,50527.98886863774,25785.000863014597,63914.49796111948,2.041244976525801,1.2649325530704156,1.0,0.9132,2.041244976525801,1.2649325530704156,True,True,True,True,True,1288,1384,1.590618626,1288,1384,True,0.4787094986658637,0.5396999033647981,1.590618626,1.5160692745,1.6150391160186337,1.5536963141596822,-0.06099040469893441,0.06134280185895147,0.07454935149999997,0.403429608078908,0.25000000000000006,616.5778342816325,746.9446662568806,0.2700822609194085,0.2534516972554035,0.30863852261806907,0.2830523676330483,True,True,10,0.4785594463798889,0.007902651233841635,0.4785594463798889,0.007902651233841635,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687523,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.4971027320731085,0.09351589392689141,1.467320659197558,0.0487486153024419,0.03246226406282968,0.042087087437170295,1.5024623157358226,0.11257680028281114,1.4863310902243734,0.06736522393530886,0.016365443364677323,0.044977358494274144,0.5898875664825243,-0.11117806781666056,0.5944631008472973,-0.05476319748249914,-0.0043941178023126914,-0.05659628689662172,0.07221791769948768
SDSS J130033.33+275849.3,13,31,1666.705477008653,6666.82190803461,1666.705477008653,6666.82190803461,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,29,1.360935226,13,29,True,0.679577751912681,0.6499273733034796,1.360935226,1.451525561,1.4025198015384617,1.4714440594137932,0.02965037860920139,-0.06892425787533152,-0.09059033499999991,0.25000000000000006,0.25000000000000006,8.834510774864853,18.84789382580091,0.18873531436709326,0.21240911435653514,0.2308795904432459,0.32579254455220075,True,True,10,0.6889640028525781,0.05145935511156444,0.6889640028525781,0.05145935511156444,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179405,10558192.339535872,11.238010979748395,10.585858629837155,11.548665794849926,11.238010979748395,1.4730286817589446,-0.11209345575894458,1.462788165760739,-0.011262604760738926,0.013866622337921852,-0.10445695733792176,1.4690570294026173,-0.06653722786415561,1.4801895696508411,-0.008745510237047949,-0.009525144153075149,-0.05939911372225637,0.6173527282016539,0.062225023711027116,0.596883221500375,0.05304415180310462,0.01788059032008965,0.011769788289111738,0.00512386135130631
2MASX J12592536+2756038,72,115,966.9935228760526,3867.9740915042103,966.9935228760526,3867.9740915042103,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,67,112,1.551891818,67,112,True,0.5645898801150189,0.5818670863699168,1.551891818,1.532532726,1.5476739163731346,1.5196948296160715,-0.017277206254897925,0.027979086757063065,0.01935909200000019,0.25,0.25,37.82752196770626,65.16911367343069,0.21875677609211727,0.2160276296968944,0.22641934106624764,0.2451823999431135,True,True,10,0.5667975318335852,0.026043966274552553,0.5667975318335852,0.026043966274552553,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.7297440817429175,9.780915934680483,2.7297440817429175,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.4962938712091978,0.05559794679080232,1.4671683725441227,0.06536435345587721,0.03183747153168942,-0.012478379531689232,1.5013399358948714,0.046333980478263204,1.4861247420788803,0.03357008753719115,0.015495548905146095,0.01248353785191697,0.5908103648544507,-0.026220484739431837,0.5945444141641953,-0.012677327794278548,-0.0036457128010716766,-0.013631493453826249,0.030365492295629216
GMP 2550,0,0,0.0763276446679605,0.30531057867184186,0.0763276446679605,0.30531057867184186,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,0,0,True,,,,,,,,,,0.2500000000000001,0.2500000000000001,,,,,,,False,False,10,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,,,,,,,,,,,
SDSS J125942.36+280158.5,6,9,154.3781771566678,617.512708626671,154.3781771566678,617.512708626671,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,6,9,1.45471303,6,9,True,0.685989512826476,0.6893142946185574,1.45471303,1.281611409,1.425609401666667,1.377887064111111,-0.0033247817920813993,0.047722337555555994,0.17310162100000004,0.25000000000000006,0.25000000000000006,4.115937076958856,6.203828651567017,0.0984651779931335,0.2541840459753039,0.1882804905129057,0.28298393232632946,False,True,10,,,,,,,,,194.92654,28.03292,G,0.0263,18.76,,,,,,,,,7.01,,,NED,,,2007SDSS6.C...0000:,-16.24,False,0.87625,Regular galaxies,,3830.719656152631,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.76000022888184,SIMBAD,,,,,-16.239999771118164,0.87625,0.87625,SIMBAD_proxy(maj/8),True,3.2,2.8040000000000003,,,,,,,1.0,0.0,4.658388816802186,6.5950896621409445,4.658388816802186,NGC 4874,4.420100998732925,16892294.263873734,3.739317684323733,6.205568933008458,7.239094258789691,3.739317684323733,1.4676162478167791,-0.012903217816779167,1.461769150638649,-0.18015774163864906,0.009685868325414682,0.16341575267458536,1.4615467059116332,-0.03593730424496622,1.4788088059665045,-0.1009217418553936,-0.015345979983979907,0.0630683175395359,0.6235275667342552,0.06246194609222078,0.5974273236766152,0.0918869709419422,0.022888488231750548,-0.026213270023831947,0.01959893325074326
[EDG2007] 265,0,0,,,,,,,,,,,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,,,,,,,,False,False,10,,,,,,,,,194.9585970391,27.926986743809994,G,0.0324991497951559,18.7,19.808,1.1079998,,,,16.79,,,,,,,,,,-16.3,False,,Regular galaxies,S0,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.700000762939453,SIMBAD,,,,,-16.299999237060547,,,,False,3.0,,,,,1.1079998016357422,B-V,,1.0,0.0,3.714364178304284,4.987373806968976,3.714364178304284,NGC 4874,2.502206745942982,35382194.38556053,3.1039547875919764,0.6575491425886265,1.5233465223901925,3.1039547875919764,,,,,,,,,,,,,,,,,,,
SDSS J125926.45+275124.7,7,10,522.1940241795347,2088.7760967181384,522.1940241795347,2088.7760967181384,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,7,10,1.535569439,7,10,True,0.6453754765802187,0.6299980691345175,1.535569439,1.516169606,1.5233003150000002,1.4991500976999999,0.015377407445701152,0.02415021730000033,0.019399833000000033,0.25000000000000006,0.25000000000000006,4.517628336061531,6.2999806913451755,0.09395142682294472,0.18299159720635472,0.1394301033975799,0.19358469959007854,False,True,10,,,,,,,,,194.860237,27.856882,AG?,0.0166,17.72,19.12,1.4000015,18.222,17.548,17.219,17.109,0.6739998,1.0030003,5.7,,,NED,,,2007SDSS6.C...0000:,-17.28,False,0.7125,Other,,1989.313383896663,False,1.2376674440486587e+18,1.636773,1.6115768694940298,18.40277,17.78439,17.48174,0.01155121,0.009478468,0.01134825,0.03713348,0.02568877,0.01908951,18.36563652,17.75870123,17.462650489999998,True,0.6069352899999991,0.902986030000001,18.21467,17.54108,17.2171,0.01133046,0.009241914,0.01105062,18.17753652,17.515391230000002,17.198010489999998,17.997544698899997,0.0073282627513608,"SDSS(cModelMag g,r)",17.997544698899997,SDSS,Vmag_sdss,0.902986030000001,0.6069352899999991,SDSS(cModel extcorr),-17.002455301100003,0.7125,1.6115768694940298,SDSS,False,3.2,5.157045982380896,,,,0.902986030000001,g-i,,1.0,0.0,6.473196152724098,11.686638514517263,6.473196152724098,NGC 4874,8.726999228596645,5125597.822852792,7.689057200125938,6.40682711892343,5.182358592542751,7.689057200125938,1.4810102744299278,0.05455916457007226,1.4642908840787823,0.051878721921217785,0.02003188475811496,-0.0006320517581149265,1.4801323318585706,0.043167983141429556,1.4822257503083833,0.016924347391616523,-0.0009412905479524447,0.025091507847952776,0.6082468349006087,0.03712864167960994,0.596080846452744,0.03391722268177355,0.010495557690434754,0.004881849755266399,0.00453373654790235
[EDG2007] 205,0,0,15.904312808798327,63.61725123519331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,0.25,,,,,,,False,False,10,,,,,,,,,194.95266666666663,28.06555555555555,G,0.0248738745789262,16.402,16.86,0.45800018,,,,15.43,,,2.25,,,NED,,,2007SDSS6.C...0000:,-18.598,False,0.28125,Regular galaxies,S0,1164.8829837900923,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,16.402000427246094,SIMBAD,,,,,-18.597999572753903,0.28125,0.28125,SIMBAD_proxy(maj/8),True,3.0,0.84375,,,,0.4580001831054687,B-V,,1.0,0.0,6.987802776110886,6.83039169356473,6.83039169356473,NGC 4889,5.889335488482466,8666233.075343845,5.8560654656329945,8.072721870488818,9.230912364552152,5.8560654656329945,,,,,,,,,,,,,,,,,,,
SDSS J125928.50+280109.3,9,28,450.5119653627032,1802.0478614508127,450.5119653627032,1802.0478614508127,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,9,26,1.53265759,9,26,True,0.4879341245895086,0.6160019439525466,1.53265759,1.4476662505,1.614588094888889,1.450707575884615,-0.12806781936303802,0.16388051900427403,0.08499133949999993,0.25000000000000006,0.25000000000000006,4.391407121305577,16.016050542766212,0.2898076415764944,0.2054345903237691,0.35753953664423016,0.2646982081327632,False,True,10,,,,,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.138373286,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.4638867489166674,0.06877084108333253,1.4610669867290955,-0.013400736229095545,0.00680507242880074,0.07818626707119919,1.4563716324606852,0.15821646242820386,1.4778573751135695,-0.02714979922895444,-0.019356892830411143,0.18323741183468517,0.6277824091511387,-0.13984828456163012,0.5978022434427537,0.018199700509792915,0.026339236998938254,-0.15440705636197627,0.015285041034750178
LEDA 1821898,23,55,333.80440259420726,1335.2176103768288,333.80440259420726,1335.2176103768288,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,19,54,1.613631065,19,54,True,0.541637622707596,0.599940690135337,1.613631065,1.5186137245,1.5983722641052633,1.5315703084814818,-0.05830306742774105,0.06680195562378155,0.0950173405000001,0.25000000000000006,0.25000000000000006,10.291114831444323,32.3967972673082,0.18990480772138718,0.19667776164964,0.1589932022903437,0.21424637272222868,True,True,10,0.5422660933015242,0.043340085317153436,0.5422660933015242,0.043340085317153436,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.4342679199519517,2.6925663184285145,1.470669484564794,0.14296158043520601,1.4623439926507258,0.056269731849274196,0.012044295591557008,0.0829730449084431,1.465783394232854,0.13258886987240937,1.4795877158740227,0.05198259260745908,-0.012062357485675745,0.0788643131094573,0.6200442458988875,-0.07840662319129155,0.5971203873191607,0.00282030281617629,0.020063456444282313,-0.07836652387202336,0.04052982836252666
