name,N_inner,N_annulus,A_ap_geom,A_ann_geom,A_ap_eff,A_ann_eff,A_ap_eff_over_geom,A_ann_eff_over_geom,f_cov_ap_geom,f_cov_ann_geom,cov_ap_depthw,cov_ann_depthw,coverage_ok_ap,coverage_ok_ann,coverage_ok_both,good_ap_area,good_ann_area,N_inner_color,N_annulus_color,median_color,N_inner_Pblue,N_annulus_Pblue,matched_color_Pblue_samples,Pblue_mean_inner,Pblue_mean_annulus,median_color_inner,median_color_annulus,mean_color_inner,mean_color_annulus,Pblue_mean_IE_contrast,mean_color_IE_contrast,median_color_IE_contrast,alpha_eff,alpha_geom,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,fb,fb_err,mu_blue,mu_blue_err,mu_red,mu_red_err,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_inner_exp,Delta_median_color_inner,median_color_annulus_exp,Delta_median_color_annulus,median_color_IE_contrast_exp,Delta_median_color_IE_contrast,mean_color_inner_exp,Delta_mean_color_inner,mean_color_annulus_exp,Delta_mean_color_annulus,mean_color_IE_contrast_exp,Delta_mean_color_IE_contrast,Pblue_mean_inner_exp,Delta_Pblue_mean_inner,Pblue_mean_annulus_exp,Delta_Pblue_mean_annulus,Pblue_mean_IE_contrast_exp,Delta_Pblue_mean_IE_contrast,gc_voronoi_density_arcsec2_inv,R_NGC 4874_kpc,R_NGC 4889_kpc,R_nearBCG_kpc,R_bcg_mid_kpc,R_xray_peak_kpc,R_sz_peak_kpc,R_geom_kpc,R_cluster_kpc,log_gc_voronoi_density,log_tidal_proxy,Delta_Pblue_mean_inner_err_lo,Delta_Pblue_mean_inner_err_hi,Delta_Pblue_mean_annulus_err_lo,Delta_Pblue_mean_annulus_err_hi,Delta_Pblue_mean_IE_contrast_err_lo,Delta_Pblue_mean_IE_contrast_err_hi,Delta_Pblue_mean_inner_q16,Delta_Pblue_mean_inner_q50,Delta_Pblue_mean_inner_q84
LEDA 126771,1847,1890,12631.997217159436,50527.98886863774,25785.0008630146,63914.49796111948,2.041244976525801,1.2649325530704156,1.0,0.9132,2.041244976525801,1.2649325530704156,True,True,True,True,True,1816,1847,1.5479478065,1816,1847,True,0.4664291274254863,0.5023019371686621,1.5479478065,1.503531546,1.5538320391618945,1.535134588634001,-0.0358728097431757,0.0186974505278934,0.0444162604999998,0.403429608078908,0.25,847.0352954046832,927.751677950519,0.2888680741117262,0.2826464044587085,0.3598414216433339,0.3240095534774318,True,True,10,0.4666336148788595,0.0072434957499295,0.4666336148788595,0.0072434957499295,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687525,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.486548166683064,0.061399639816936,1.462429712622502,0.0411018333774981,0.0305158699821414,0.0139003905178583,1.493298529477318,0.0605335096845764,1.4784015446510166,0.0567330439829845,0.0168374920351407,0.0018599584927526,0.5653041668223229,-0.09887503939683656,0.5837521899995055,-0.0814502528308434,-0.013631384095875249,-0.02224142564730045,0.1173275898291705,180.05921101178336,35.66012825522634,35.66012825522634,76.0652220633739,136.5850024896686,120.43447448455868,153.71340873780588,136.5850024896686,-0.9305998506155387,8.977110273296269,0.00764938905821462,0.01176950695225537,0.006155209006693085,0.009867811913440216,0.010321664290316841,0.012158185445442136,-0.10652442845505118,-0.09667012558801835,-0.08710553244458119
SDSS J130033.33+275849.3,13,31,1666.705477008653,6666.82190803461,1666.705477008653,6666.82190803461,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,29,1.360935226,13,29,True,0.679577751912681,0.6499273733034796,1.360935226,1.451525561,1.4025198015384617,1.4714440594137932,0.0296503786092013,-0.0689242578753315,-0.0905903349999999,0.25,0.25,8.834510774864853,18.84789382580091,0.1887353143670932,0.2124091143565351,0.2308795904432459,0.3257925445522007,True,True,10,0.6889640028525781,0.0514593551115644,0.6889640028525781,0.0514593551115644,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179403,10558192.339535872,11.238010979748395,10.585858629837157,11.548665794849926,11.238010979748395,1.4633566210551514,-0.1024213950551513,1.460458076142941,-0.0089325151429411,0.0136252783788206,-0.1042156133788205,1.463694867698638,-0.0611750661601764,1.4732689906967422,-0.001824931282949,-0.0045090697608858,-0.0644151881144456,0.5808285926469612,0.09874915926571981,0.5856602685216495,0.06426710478183006,0.0003669517694052937,0.029283426839796005,0.0051238613513063,371.94381301030865,162.18652593228734,162.18652593228734,266.94776270807245,326.9004882864721,307.93014540219,335.93707055429866,326.9004882864721,-2.290402630523228,7.023589569318493,0.04900379060047283,0.05389214687158758,0.034229135884696456,0.04217109995213675,0.0644247858749103,0.060620750143922326,0.04974536866524698,0.10341036198968773,0.1526413061373074
2MASX J12592536+2756038,73,119,966.9935228760526,3867.97409150421,966.9935228760526,3867.97409150421,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,68,116,1.5475761775,68,116,True,0.5683750121464094,0.5843664413041739,1.5475761775,1.5162844505000002,1.5373576722500004,1.510698987775862,-0.0159914291577645,0.0266586844741383,0.0312917269999999,0.25,0.25,38.64950082595584,67.78650719128417,0.2193502488691366,0.2140614440303783,0.2402861850992335,0.2471737469121101,True,True,10,0.5685117120462909,0.0264907215676741,0.5685117120462909,0.0264907215676741,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.729744081742917,9.780915934680484,2.729744081742917,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.485768956978539,0.061807220521461,1.4623634678666189,0.0539209826333813,0.0299483652067531,0.0013433617932467,1.492303879921936,0.0450537923280645,1.4782290966428355,0.0324698911330263,0.016120271700775,0.0105384127733632,0.5658257699726182,0.0025492421737911553,0.5838162992799004,0.0005501420242735033,-0.013161055842276698,-0.002830373315487803,0.032140793971437,79.40503660540521,284.5153115349218,79.40503660540521,180.4652691270774,127.00276571055788,141.2484657719097,128.35056988952834,127.00276571055788,-1.4929433990986591,7.745679979355399,0.024612782463636816,0.028828011528289448,0.018795140164734443,0.020182933636751624,0.03128241034123208,0.034550210297547415,-0.02206354028984566,0.006296743240955527,0.0313772537020806
SDSS J125928.50+280109.3,10,29,450.5119653627032,1802.047861450813,450.5119653627032,1802.047861450813,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,10,27,1.562636256,10,27,True,0.4401918526935347,0.5933536174971172,1.562636256,1.457851977,1.6329890269999996,1.4656391385185183,-0.1531617648035825,0.1673498884814812,0.1047842789999999,0.25,0.25,4.401918526935347,16.020547672422165,0.3121692846037329,0.2333017895165325,0.3420769324355043,0.2709059254630578,True,True,10,0.4412033066347522,0.0894323924572176,0.4412033066347522,0.0894323924572176,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.13837329,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.4545498124844205,0.1080864435155797,1.4597093625675224,-0.0018573855675223,0.0072112079549067,0.0975730710450931,1.4524531080306788,0.1805359189693207,1.4713199433637418,-0.0056808048452234,-0.0126152601113307,0.1799651485928119,0.586723872271772,-0.1465320195782373,0.5863848464584569,0.006968771038660337,0.005682710634823451,-0.15884447543840596,0.0160229184353294,114.50743940183119,264.70652949404956,114.50743940183119,174.7556978169198,123.67442840001861,195.59001888378032,212.4734302472238,123.67442840001861,-1.7952583780817502,7.306520371817954,0.09343898292813926,0.09805237320415958,0.038909754327953294,0.04533172352593222,0.10885739555477608,0.0998939215872659,-0.23997100250637657,-0.14131162149327986,-0.04847964637407773
LEDA 1821898,23,55,333.80440259420726,1335.2176103768288,333.80440259420726,1335.2176103768288,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,19,54,1.613631065,19,54,True,0.541637622707596,0.599940690135337,1.613631065,1.5186137245,1.5983722641052631,1.5315703084814818,-0.058303067427741,0.0668019556237815,0.0950173405000001,0.25,0.25,10.291114831444323,32.3967972673082,0.1899048077213871,0.19667776164964,0.1589932022903437,0.2142463727222286,True,True,10,0.5422660933015242,0.0433400853171534,0.5422660933015242,0.0433400853171534,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.434267919951952,2.6925663184285145,1.4610839071304325,0.1525471578695676,1.4602648606603048,0.0583488638396951,0.0119700423135103,0.0830472981864897,1.4607937823019794,0.1375784818032837,1.4727660131449911,0.0588042953364906,-0.0066009798481685,0.07340293547195,0.5823499478559241,-0.04071232514832812,0.58584725548217,0.014093434653167036,0.0017387539491456327,-0.060041821376886635,0.0405298283625148,42.94096422600129,223.96541051804914,42.94096422600129,122.23667671845216,78.32357930813274,78.15244814718841,70.80998346472555,78.32357930813274,-1.39222523542363,8.536698266340826,0.03636319222457479,0.0441749405549558,0.023213045728933363,0.027046405336203318,0.04766832788567641,0.04905641031469698,-0.07707551737290291,-0.03672626671988488,0.0034626154066276756
LEDA 1822726,24,49,564.444221629636,2257.7768865185444,564.444221629636,2257.7768865185444,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,23,49,1.39155106,23,49,True,0.6050453522958182,0.550637658860252,1.39155106,1.534906928,1.403175332521739,1.5103650990408162,0.0544076934355662,-0.107189766519077,-0.143355868,0.2499999999999999,0.2499999999999999,13.91604310280382,26.981245284152347,0.2434033600516125,0.2590619381910993,0.3080758779548924,0.3344606019614916,True,True,10,0.6103481519851449,0.0490151548290392,0.6103481519851449,0.0490151548290392,,,,,194.8320833333333,27.96833333333333,GiC,0.0257,17.7,18.995,1.2950001,,,,16.74,,,15.0,0.15,132.0,SIMBAD,E,2003A&A...412...45P,,-17.3,False,1.875,Members of systems,E,8015.789974468368,False,1.2376674440485934e+18,2.898254,2.163066977359321,18.12296,17.42215,17.06719,0.0110812,0.008891906,0.01078947,0.03495746,0.02418341,0.01797086,18.08800254,17.39796659,17.04921914,True,0.6900359499999986,1.0387833999999962,17.85776,17.16272,16.83729,0.01077501,0.008615483,0.01038941,17.822802539999998,17.13853659,16.81931914,17.670881329499995,0.0069400557722083,"SDSS(cModelMag g,r)",17.670881329499995,SDSS,Vmag_sdss,1.0387833999999962,0.6900359499999986,SDSS(cModel extcorr),-17.329118670500005,1.875,2.163066977359321,SDSS,False,3.2,6.9218143275498285,,,,1.0387833999999962,g-i,9.0,0.6,132.0,3.576827064912382,10.69842772302969,3.576827064912382,NGC 4874,7.110535658130785,25342835.633193992,5.036946055865869,6.492513096829805,6.401706381937094,5.036946055865869,1.476573746951253,-0.0850226869512529,1.46158173422032,0.0733251937796801,0.0232514188380419,-0.1666072868380419,1.4805663315929416,-0.0773909990712025,1.4761940916309608,0.0341710074098553,0.0076565788437253,-0.1148463453628023,0.5719810456192213,0.03306430667659699,0.5845728328478292,-0.03393517398757728,-0.007610859215501392,0.06201855265106759,0.0226669542619186,104.04568176194334,311.20464758918007,104.04568176194334,206.83709802474016,146.5188215336694,188.85955044755585,186.21809018455988,146.5188215336694,-1.6446068317087834,7.403855206875341,0.04734517716651386,0.0484786229696164,0.035006180026335806,0.036148387678535975,0.061312780894466574,0.05965374269138926,-0.014280870489916869,0.03523308337607878,0.08154292964621339
SDSS J130044.10+280215.4,22,88,2267.074491032358,9068.297964129431,2267.074491032358,9068.297964129431,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,22,85,1.3154088604999998,22,85,True,0.6044006160351754,0.639694631289752,1.3154088604999998,1.416404497,1.4474980344090909,1.4404408829058823,-0.0352940152545766,0.0070571515032085,-0.1009956365000002,0.25,0.25,13.29681355277386,54.37404365962892,0.2921567173758779,0.2104208153234664,0.3530114101417388,0.2410960342323984,True,True,10,0.6034520149570772,0.0590008955651071,0.6034520149570772,0.0590008955651071,,,,,195.183767,28.037623,G,0.0296505124221637,18.74,,,19.762,19.025,18.76,18.55,0.7369995,1.0019989,5.04,,,NED,,,2007SDSS6.C...0000:,-16.26,False,0.63,Regular galaxies,dE,3092.507251557792,False,1.237667324334703e+18,3.67666,3.3579016494928724,19.80252,19.01752,18.73545,0.0376345,0.03206315,0.04505836,0.03542991,0.02451025,0.01821374,19.76709009,18.99300975,18.71723626,True,0.7740803399999976,1.04985383,19.75126,19.01752,18.75314,0.03781127,0.03206316,0.04085517,19.71583009,18.99300975,18.73492626,19.3003826894,0.0244121290320374,"SDSS(cModelMag g,r)",19.3003826894,SDSS,Vmag_sdss,1.04985383,0.7740803399999976,SDSS(cModel extcorr),-15.6996173106,0.63,3.3579016494928724,SDSS,False,3.2,10.745285278377192,,,,1.04985383,g-i,,1.0,0.0,15.812851724050397,8.739746534349745,8.739746534349745,NGC 4889,12.2534349633107,2882220.380588912,14.179099233631849,14.07456911019516,15.169843993491948,14.179099233631849,1.4489977072326228,-0.1335888467326229,1.4592373486091414,-0.0428328516091414,0.0031675644715721,-0.1041632009715723,1.445365928561449,0.0021321058476417,1.4700911990522645,-0.0296503161463821,-0.017725672317445,0.0247828238206535,0.5904404527677428,0.013960163267432546,0.5868416445069184,0.052852986782833566,0.009033941955107178,-0.04432795720968378,0.0108471853924687,459.97721119056865,254.22892135694457,254.22892135694457,356.4379746479371,412.4532776564674,409.41261962065687,441.2728745005329,412.4532776564674,-1.964682937123729,6.45972718481055,0.056876078869704014,0.05871165365401819,0.02178496896797543,0.02548644671203834,0.0639999805801574,0.060953442718867476,-0.04291591560227147,0.018141992033097132,0.07267181692145074
LEDA 44652,47,231,903.290910772001,3613.163643088004,903.290910772001,3613.163643088004,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,46,228,1.5155425335,46,228,True,0.5665685604073267,0.5745474666237452,1.5155425335,1.49488637,1.5494708003043485,1.5087534968684209,-0.0079789062164185,0.0407173034359273,0.0206561634999999,0.25,0.25,26.062153778737027,130.9968223902139,0.2410214442652135,0.2352109236419905,0.236999225713255,0.3009790883944045,True,True,10,0.5652844408015123,0.0345543748055121,0.5652844408015123,0.0345543748055121,,,,,194.93419145873,27.958426533770005,G,0.02303,15.65,16.982,1.3320007,16.086,15.334,14.98,14.705,0.7520008,1.1060009,29.214000701904297,0.245933,17.0,SIMBAD,B,2023ApJS..269....3M,,-19.35,False,3.651750087738037,Regular galaxies,,14034.977986785983,False,1.2376674440486584e+18,4.470431,2.9823621949387413,16.39336,15.69551,15.2701,0.00375288,0.003144176,0.003308895,0.02879819,0.01992246,0.01480452,16.36456181,15.67558754,15.25529548,True,0.688974270000001,1.1092663300000023,16.56185,15.82116,15.46881,0.003718602,0.00312167,0.003297646,16.53305181,15.80123754,15.45400548,15.9480669907,0.0024101453181839,"SDSS(cModelMag g,r)",15.9480669907,SDSS,Vmag_sdss,1.1092663300000023,0.688974270000001,SDSS(cModel extcorr),-19.0519330093,3.651750087738037,2.9823621949387413,SDSS,False,3.2,9.543559023803972,,,,1.1092663300000023,g-i,14.75598,0.5050995976404609,17.0,1.8768710136025093,5.391951496346297,1.8768710136025093,NGC 4874,1.796724117447937,176670435.0904041,0.821417422941886,1.7766252611808269,2.755925318296296,0.821417422941886,1.5057289215363725,0.0098136119636274,1.464060370474335,0.0308259995256652,0.0444853699916932,-0.0238292064916932,1.5177824767073682,0.0316883235969802,1.4826464647933737,0.0261070320750473,0.0344923381303398,0.0062249653055874,0.552464565238271,0.014103995169055694,0.5821740982689545,-0.00762663164520927,-0.02520882067099789,0.017229914454579387,0.0996669162152474,54.59596470434511,156.84551119846313,54.59596470434511,52.264585999092986,23.89406427263786,51.67993396951604,80.16661790557181,23.89406427263786,-1.0014489789962104,8.247163878587806,0.03289537336744112,0.03636990592812778,0.015256614499139384,0.01650075483936611,0.03554795418232193,0.04049786610091245,-0.018791378198385424,0.017322302538485546,0.05047390109718347
LEDA 44651,212,774,1559.7725873521435,6239.090349408572,1559.7725873521435,6239.090349408572,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,205,751,1.574717934,205,751,True,0.5031973102744146,0.5403989619538991,1.574717934,1.538019638,1.57557630557561,1.553316292412783,-0.0372016516794845,0.0222600131628269,0.0366982959999999,0.25,0.25,103.155448606255,405.83962042737824,0.2695000966185641,0.2541286264556083,0.3378151970136724,0.2993056617868342,True,True,10,0.5027427681938661,0.018821643277134,0.5027427681938661,0.018821643277134,,,,,194.91780643067,27.96824372093,EmG,0.02527,16.02,17.375,1.3549995,16.524,15.713,15.343,15.066,0.8109999,1.1809998,15.59999942779541,0.17,,SIMBAD,E,2003A&A...412...45P,,-18.98,False,1.9499999284744265,Regular galaxies,,8201.208355040244,False,1.2376674440486584e+18,4.562069,3.4445137577959444,16.52127,15.65185,15.38442,0.004146011,0.003265507,0.003529765,0.02833875,0.01960462,0.01456833,16.49293125,15.63224538,15.36985167,True,0.8606858700000029,1.1230795800000006,16.48264,15.65183,15.30425,0.004147299,0.003265507,0.003532375,16.45430125,15.63222538,15.28968167,15.975126586699998,0.0025693415931882,"SDSS(cModelMag g,r)",15.975126586699998,SDSS,Vmag_sdss,1.1230795800000006,0.8606858700000029,SDSS(cModel extcorr),-19.0248734133,1.9499999284744265,3.4445137577959444,SDSS,False,3.2,11.022444024947022,,,,1.1230795800000006,g-i,10.2,0.6538461778290888,0.0,1.143241826114986,6.165774818373137,1.143241826114986,NGC 4874,2.567857154960452,740049702.939747,0.5123744718224101,2.716126832407561,3.4665675174659327,0.5123744718224101,1.505270992189132,0.0694469418108678,1.4640214394681583,0.0739981985318416,0.044151856317723,-0.0074535603177231,1.5171979367318214,0.0583783688437886,1.482545119798104,0.0707711726146791,0.034070838965691,-0.0118108258028641,0.5527711032456215,-0.0495737929712069,0.5822117742896107,-0.04181281233571155,-0.024932416117886824,-0.012269235561597674,0.1525231343841317,33.25555668703166,179.35511919527767,33.25555668703166,74.69593679159021,14.904369227446612,79.0089268787936,100.83836153744426,14.904369227446612,-0.8166642784590442,8.869260888633118,0.0179495616090819,0.019980400557296604,0.009251181601048174,0.010156709053671685,0.018740165904401744,0.024173948785912995,-0.0675233545802888,-0.04759691593764204,-0.029593392413910295
LEDA 44692,55,217,1759.5311113829184,7038.124445531674,2029.5830833781688,10045.704616680954,1.153479509539903,1.4273269383661888,1.0,1.0,1.153479509539903,1.4273269383661888,True,True,True,True,True,54,214,1.4622908815,54,214,True,0.5703379484063568,0.5101291730494677,1.4622908815,1.4973105005,1.496293698962963,1.4884524612803738,0.060208775356889,0.0078412376825891,-0.035019619,0.2020349155009031,0.25,30.798249213943265,109.16764303258608,0.2371925018641782,0.2734159162484525,0.2097837430187454,0.3237355580580379,True,True,10,0.5694968486123768,0.0301650053177488,0.5694968486123768,0.0301650053177488,,,,,194.997788,27.940571,AG?,0.02037,17.0,18.426,1.4260006,17.949,17.251,16.93,16.753,0.69799995,1.0189991,15.0,0.19,152.0,SIMBAD,E,2003A&A...412...45P,,-18.0,False,1.875,Other,,6394.566526569033,False,1.237667444048659e+18,3.603683,3.39333514899597,17.77126,17.03383,16.77582,0.01014868,0.008201313,0.01231581,0.03052491,0.02111699,0.01569219,17.74073509,17.01271301,16.76012781,True,0.7280220800000023,0.980607280000001,17.94316,17.24211,16.92641,0.009819054,0.007915523,0.01199781,17.91263509,17.22099301,16.91071781,17.301202062799998,0.0063817958634173,"SDSS(cModelMag g,r)",17.301202062799998,SDSS,Vmag_sdss,0.980607280000001,0.7280220800000023,SDSS(cModel extcorr),-17.698797937200002,1.875,3.39333514899597,SDSS,False,3.2,10.858672476787106,,,,0.980607280000001,g-i,11.4,0.76,152.0,5.365422707671368,2.9006686586244066,2.9006686586244066,NGC 4889,2.350966696447629,78351167.74373455,4.157109190852259,2.7463224734333567,3.730435362824387,4.157109190852259,1.4828298265057362,-0.0205389450057362,1.4621135967734482,0.0351969037265518,0.0278077725407241,-0.0628273915407241,1.4885521237502584,0.0077415752127045,1.4775786334968108,0.0108738277835629,0.0134149612712383,-0.0055737235886492,0.567793224567755,0.0025447238386017146,0.5840581154925372,-0.07392894244306947,-0.011387006963850255,0.07159578232073925,0.0762362720040775,156.07382001689098,84.3770310040055,84.3770310040055,68.386849096242,120.92540457548208,79.88728247154428,108.5139660235247,120.92540457548208,-1.1178383490911785,7.894045473566331,0.03136489105660443,0.034068266250491926,0.017360976850186532,0.01989446065986071,0.03573771695646326,0.03810863754342439,-0.028820167218002714,0.005753474781919121,0.03661299008909364
