name,N_inner,N_annulus,A_ap_geom,A_ann_geom,A_ap_eff,A_ann_eff,A_ap_eff_over_geom,A_ann_eff_over_geom,f_cov_ap_geom,f_cov_ann_geom,cov_ap_depthw,cov_ann_depthw,coverage_ok_ap,coverage_ok_ann,coverage_ok_both,good_ap_area,good_ann_area,N_inner_color,N_annulus_color,median_color,N_inner_Pblue,N_annulus_Pblue,matched_color_Pblue_samples,Pblue_mean_inner,Pblue_mean_annulus,median_color_inner,median_color_annulus,mean_color_inner,mean_color_annulus,Pblue_mean_IE_contrast,mean_color_IE_contrast,median_color_IE_contrast,alpha_eff,alpha_geom,sum_Pblue_inner,sum_Pblue_annulus,Pblue_std_inner,Pblue_std_annulus,color_std_inner,color_std_annulus,Pblue_inner_meets_min,Pblue_annulus_nonzero,min_gc_for_Pblue,Pblue_mean,Pblue_mean_err,fb,fb_err,mu_blue,mu_blue_err,mu_red,mu_red_err,ra,dec,otype,z,Vmag_simbad_raw,Bmag_simbad_raw,BV_simbad_raw,gmag_simbad_raw,rmag_simbad_raw,imag_simbad_raw,zmag_simbad_raw,gr_simbad_raw,gi_simbad_raw,major_axis_arcsec,galdim_minaxis,galdim_angle,dim_source,galdim_qual,galdim_bibcode,dim_ref,MV_simbad_raw,show_label,Re_arcsec,otype_family,morph_type,major_kpc,is_large_E,sdss_objid,Re_r_arcsec,Re_r_arcsec_circ,g_cmodel_sdss,r_cmodel_sdss,i_cmodel_sdss,gerr_cmodel_sdss,rerr_cmodel_sdss,ierr_cmodel_sdss,Ag_sdss,Ar_sdss,Ai_sdss,g0_cmodel_sdss,r0_cmodel_sdss,i0_cmodel_sdss,sdss_phot_ok,gr0_sdss,gi0_sdss,g_model_sdss,r_model_sdss,i_model_sdss,gerr_model_sdss,rerr_model_sdss,ierr_model_sdss,g0_model_sdss,r0_model_sdss,i0_model_sdss,Vmag_sdss,Vmag_sdss_err,V_source,mV_app,mV_src,mV_app_col,gi_primary,gr_primary,color_src,MV_abs,Re_simbad_proxy_arcsec,Re_best_arcsec,Re_best_src,Re_best_is_proxy,Re_GCS_scale,Re_GCS_arcsec,n_gcs_prior,n_gcs_red_prior,n_gcs_blue_prior,gal_color,gal_color_src,minor_axis_arcsec,q_axis,pa_deg,R_NGC 4874_arcmin,R_NGC 4889_arcmin,R_nearBCG_arcmin,nearer_BCG,R_bcg_mid_arcmin,tidal_proxy,R_xray_peak_arcmin,R_sz_peak_arcmin,R_geom_arcmin,R_cluster_arcmin,median_color_inner_exp,Delta_median_color_inner,median_color_annulus_exp,Delta_median_color_annulus,median_color_IE_contrast_exp,Delta_median_color_IE_contrast,mean_color_inner_exp,Delta_mean_color_inner,mean_color_annulus_exp,Delta_mean_color_annulus,mean_color_IE_contrast_exp,Delta_mean_color_IE_contrast,Pblue_mean_inner_exp,Delta_Pblue_mean_inner,Pblue_mean_annulus_exp,Delta_Pblue_mean_annulus,Pblue_mean_IE_contrast_exp,Delta_Pblue_mean_IE_contrast,gc_voronoi_density_arcsec2_inv
LEDA 126771,2913,1332,19737.495651811616,78949.98260724648,40289.0638484603,79189.97721516124,2.041244976525801,1.003039831042252,1.0,0.9162,2.041244976525801,1.003039831042252,True,True,True,True,True,2788,1284,1.564839082,2788,1284,True,0.4570741109820913,0.5579314581936634,1.564839082,1.473041946,1.5719524527051647,1.4982133909322428,-0.10085734721157213,0.07373906177292189,0.09179713600000006,0.5087646854474255,0.24999999999999994,1274.3226214180704,716.3839923206638,0.29100812352412686,0.26024682791439113,0.36193213141016534,0.3020557089592463,True,True,10,0.4567220409478514,0.005893646362886242,0.4567220409478514,0.005893646362886242,,,,,195.015438,27.964525,GiC,0.01778,17.26,18.49,1.2299995,17.207,16.401,16.026,15.919,0.80600166,1.1810017,7.15,,,NED,,,2007SDSS6.C...0000:,-17.74,False,0.89375,Members of systems,,2668.9116594673533,False,1.237667444048724e+18,9.422453,7.926310613697409,17.79433,16.6457,16.29974,0.0094071,0.006945321,0.008212235,0.03074882,0.02127189,0.0158073,17.76358118,16.62442811,16.2839327,True,1.139153069999999,1.479648479999998,17.20481,16.39346,16.02829,0.009123255,0.006616065,0.007813034,17.17406118,16.37218811,16.0124827,17.081480868699998,0.005627364442639,"SDSS(cModelMag g,r)",17.081480868699998,SDSS,Vmag_sdss,1.479648479999998,1.139153069999999,SDSS(cModel extcorr),-17.918519131300002,0.89375,7.926310613697409,SDSS,False,3.2,25.36419396383171,,,,1.479648479999998,g-i,,1.0,0.0,6.189979712058423,1.2259049075518114,1.2259049075518114,NGC 4889,2.6149297151740294,948659310.2687523,4.695446512465112,4.140232257504728,5.284277745147377,4.695446512465112,1.4821537282798178,0.08268535372018215,1.4571075320489215,0.01593441395107842,0.017819405856740606,0.07397773014325945,1.4932710550309554,0.07868139767420934,1.4815012284452798,0.016712162486963056,0.011511603170145657,0.06222745860277623,0.5809583945608744,-0.12388428357878312,0.5894673205698182,-0.0315358623761548,-0.0030622860787392625,-0.09779506113283287,0.025298703146317995
SDSS J130033.33+275849.3,16,56,2604.22730782602,10416.909231304076,2604.22730782602,10416.909231304076,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,15,53,1.368226139,15,53,True,0.6694139953003699,0.6486230519261168,1.368226139,1.442356628,1.4202656550666668,1.4732679863396225,0.020790943374253135,-0.05300233127295573,-0.07413048900000008,0.2500000000000001,0.2500000000000001,10.041209929505548,34.37702175208419,0.18784257750329564,0.1861264325416231,0.22543585258102478,0.21396147660178674,True,True,10,0.6708777527664548,0.04559622794555815,0.6708777527664548,0.04559622794555815,,,,,195.138894,27.980364,AG?,0.0172,17.93,19.883,1.9529991,19.081,18.425,18.046,17.767,0.65600014,1.0349998,5.6,,,NED,,,2007SDSS6.C...0000:,-17.07,False,0.7,Other,,2023.575699311731,False,1.2376673243346378e+18,2.985155,2.87915143393122,18.883,18.21784,17.98378,0.01951113,0.01799711,0.0203615,0.0350279,0.02423214,0.01800708,18.8479721,18.19360786,17.96577292,True,0.6543642399999996,0.8821991800000006,19.07247,18.41958,18.04261,0.01881794,0.01724832,0.01971573,19.0374421,18.39534786,18.02460292,18.4518971984,0.0132944048221074,"SDSS(cModelMag g,r)",18.4518971984,SDSS,Vmag_sdss,0.8821991800000006,0.6543642399999996,SDSS(cModel extcorr),-16.548102801600002,0.7,2.87915143393122,SDSS,False,3.2,9.213284588579905,,,,0.8821991800000006,g-i,,1.0,0.0,12.78648642089626,5.575562057885486,5.575562057885486,NGC 4889,9.176988092179405,10558192.339535872,11.238010979748395,10.585858629837155,11.548665794849926,11.238010979748395,1.4634120425162236,-0.09518590351622369,1.451016816835904,-0.008660188835904137,0.003542373173694019,-0.0776728621736941,1.4697435344710326,-0.049477879404365765,1.4755720001792576,-0.0023040138396350773,-0.004832343699745056,-0.04816998757321067,0.6006866402815492,0.06872735501882077,0.5941340988822482,0.05448895304386858,0.011359592550300474,0.009431350823952661,0.006781008525787646
2MASX J12592536+2756038,94,162,1510.9273794938322,6043.709517975329,1510.9273794938322,6043.709517975329,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,88,158,1.5379358965,88,158,True,0.5586809887266337,0.5977366000130339,1.5379358965,1.4995996974999999,1.5398985995795456,1.4902134418924053,-0.039055611286400116,0.04968515768714021,0.03833619900000018,0.25,0.25,49.16392700794377,94.44238280205934,0.24233265442470903,0.21000388832962957,0.2534357110006713,0.26569973991170637,True,True,10,0.5618603363665611,0.026156835964282473,0.5618603363665611,0.026156835964282473,,,,,194.85557934601,27.93449232493,GiC,0.02531,17.02,18.094,1.0739994,17.578,16.871,16.55,16.316,0.7069988,1.0279999,8.579999923706055,0.143,90.0,SIMBAD,C,2006AJ....131.1163S,,-17.98,False,1.0724999904632568,Members of systems,E/S0,4517.585880691035,False,1.2376674440486584e+18,2.307695,2.193041545887024,17.54884,16.90173,16.5925,0.006365186,0.005119016,0.005765975,0.03608074,0.02496049,0.01854832,17.51275926,16.87676951,16.57395168,True,0.6359897500000002,0.9388075799999988,17.57126,16.86209,16.54906,0.006325855,0.005087877,0.005734589,17.53517926,16.837129509999997,16.53051168,17.127525307499997,0.0039915406321228,"SDSS(cModelMag g,r)",17.127525307499997,SDSS,Vmag_sdss,0.9388075799999988,0.6359897500000002,SDSS(cModel extcorr),-17.872474692500003,1.0724999904632568,2.193041545887024,SDSS,False,3.0,6.579124637661071,,,,0.9388075799999988,g-i,8.58,1.0,90.0,2.7297440817429175,9.780915934680483,2.7297440817429175,NGC 4874,6.203938961804454,55677532.40481717,4.366033477022266,4.8557645708570965,4.412367571661328,4.366033477022266,1.481524028834147,0.056411867665853155,1.4569028909060833,0.042696806593916614,0.017339713705258414,0.020996485294741768,1.4924805569486872,0.04741804263085836,1.4813020130812262,0.008911428811179123,0.010962465039570518,0.038722692647569695,0.5816212413053494,-0.02294025257871568,0.589624119043204,0.00811248096982986,-0.0025777272672858342,-0.03647788401911428,0.03023369109824231
GMP 2550,0,0,0.11926194479368825,0.47704777917475316,0.11926194479368825,0.47704777917475316,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,0,0,,0,0,True,,,,,,,,,,0.24999999999999992,0.24999999999999992,,,,,,,False,False,10,,,,,,,,,195.16241666666667,28.00980555555556,G,0.0197870221271543,18.45,19.149,0.6989994,18.84,,,17.14,,,5.64,,,NED,,,2007SDSS6.C...0000:,-16.55,False,0.705,Regular galaxies,Sa,2337.200564489691,False,1.2376673243347026e+18,0.03022349,0.0194839051715349,25.11438,24.80202,24.3618,0.9671926,0.9461214,1.06993,0.03529272,0.02441534,0.01814322,25.07908728,24.77760466,24.34365678,True,0.3014826200000016,0.7354304999999997,25.11438,24.80202,24.3618,0.7037622,0.7457531,0.7792174,25.07908728,24.77760466,24.34365678,24.8912125342,0.6847271732867282,"SDSS(cModelMag g,r)",24.8912125342,SDSS,Vmag_sdss,0.7354304999999997,0.3014826200000016,SDSS(cModel extcorr),-10.108787465800004,0.705,0.0194839051715349,SDSS,False,3.0,0.0584517155146048,,,,0.7354304999999997,g-i,,1.0,0.0,14.293750168346756,7.095479904962103,7.095479904962103,NGC 4889,10.68914735252012,5243609.097782694,12.687443740561982,12.348553607574654,13.39181096772086,12.687443740561982,,,,,,,,,,,,,,,,,,,
SDSS J125942.36+280158.5,9,13,241.2159018072934,964.8636072291738,241.2159018072934,964.8636072291738,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,9,13,1.481318466,9,13,True,0.6433207848283347,0.6038911953023681,1.481318466,1.376888999,1.4508530847777776,1.4692729697692308,0.039429589525966535,-0.018419884991453195,0.10442946700000011,0.24999999999999994,0.24999999999999994,5.789887063455012,7.850585538930786,0.11179509675133817,0.24974860125256543,0.17159076161346648,0.27949950049979294,False,True,10,,,,,,,,,194.92654,28.03292,G,0.0263,18.76,,,,,,,,,7.01,,,NED,,,2007SDSS6.C...0000:,-16.24,False,0.87625,Regular galaxies,,3830.719656152631,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.76000022888184,SIMBAD,,,,,-16.239999771118164,0.87625,0.87625,SIMBAD_proxy(maj/8),True,3.2,2.8040000000000003,,,,,,,1.0,0.0,4.658388816802186,6.5950896621409445,4.658388816802186,NGC 4874,4.420100998732925,16892294.263873734,3.739317684323733,6.205568933008458,7.239094258789691,3.739317684323733,1.4591984542401952,0.022120011759804825,1.449647475436314,-0.07275847643631406,0.00033254785229125394,0.10409691914770886,1.4644539737535074,-0.013600888975729752,1.4742389649857992,-0.004965995216568375,-0.00850686176517837,-0.009913023226274825,0.605122031309005,0.038198753519329665,0.5951833045210642,0.008707890781303962,0.014601982774752276,0.02482760675121426,0.0168501881342687
[EDG2007] 265,0,0,,,,,,,,,,,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,,,,,,,,False,False,10,,,,,,,,,194.9585970391,27.926986743809994,G,0.0324991497951559,18.7,19.808,1.1079998,,,,16.79,,,,,,,,,,-16.3,False,,Regular galaxies,S0,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,18.700000762939453,SIMBAD,,,,,-16.299999237060547,,,,False,3.0,,,,,1.1079998016357422,B-V,,1.0,0.0,3.714364178304284,4.987373806968976,3.714364178304284,NGC 4874,2.502206745942982,35382194.38556053,3.1039547875919764,0.6575491425886265,1.5233465223901925,3.1039547875919764,,,,,,,,,,,,,,,,,,,
SDSS J125926.45+275124.7,8,23,815.9281627805228,3263.7126511220913,815.9281627805228,3263.7126511220913,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,8,22,1.4971619525,8,22,True,0.6619281462804771,0.5128777919176234,1.4971619525,1.5681627845,1.50507443025,1.6365964057272726,0.14905035436285374,-0.1315219754772725,-0.07100083199999996,0.25,0.25,5.295425170243817,11.283311422187715,0.09878165862716085,0.2459472198025623,0.138999878415309,0.2766186257496037,False,True,10,,,,,,,,,194.860237,27.856882,AG?,0.0166,17.72,19.12,1.4000015,18.222,17.548,17.219,17.109,0.6739998,1.0030003,5.7,,,NED,,,2007SDSS6.C...0000:,-17.28,False,0.7125,Other,,1989.313383896663,False,1.2376674440486587e+18,1.636773,1.6115768694940298,18.40277,17.78439,17.48174,0.01155121,0.009478468,0.01134825,0.03713348,0.02568877,0.01908951,18.36563652,17.75870123,17.462650489999998,True,0.6069352899999991,0.902986030000001,18.21467,17.54108,17.2171,0.01133046,0.009241914,0.01105062,18.17753652,17.515391230000002,17.198010489999998,17.997544698899997,0.0073282627513608,"SDSS(cModelMag g,r)",17.997544698899997,SDSS,Vmag_sdss,0.902986030000001,0.6069352899999991,SDSS(cModel extcorr),-17.002455301100003,0.7125,1.6115768694940298,SDSS,False,3.2,5.157045982380896,,,,0.902986030000001,g-i,,1.0,0.0,6.473196152724098,11.686638514517263,6.473196152724098,NGC 4874,8.726999228596645,5125597.822852792,7.689057200125938,6.40682711892343,5.182358592542751,7.689057200125938,1.4696257248746327,0.027536227625367227,1.4530361533111071,0.11512663118889277,0.008275829236936816,-0.07927666123693677,1.4775439288050511,0.02753050144494895,1.4775377967218037,0.15905860900546887,0.0005863841357994226,-0.13210835961307194,0.5941458704733691,0.06778227580710805,0.592586859298983,-0.07970906738135963,0.006578113768575589,0.14247224059427815,0.00811522623015529
[EDG2007] 205,0,0,24.850488763747386,99.40195505498954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,,0,0,True,,,,,,,,,,,0.25,,,,,,,False,False,10,,,,,,,,,194.95266666666663,28.06555555555555,G,0.0248738745789262,16.402,16.86,0.45800018,,,,15.43,,,2.25,,,NED,,,2007SDSS6.C...0000:,-18.598,False,0.28125,Regular galaxies,S0,1164.8829837900923,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,16.402000427246094,SIMBAD,,,,,-18.597999572753903,0.28125,0.28125,SIMBAD_proxy(maj/8),True,3.0,0.84375,,,,0.4580001831054687,B-V,,1.0,0.0,6.987802776110886,6.83039169356473,6.83039169356473,NGC 4889,5.889335488482466,8666233.075343845,5.8560654656329945,8.072721870488818,9.230912364552152,5.8560654656329945,,,,,,,,,,,,,,,,,,,
SDSS J125928.50+280109.3,13,38,703.9249458792237,2815.6997835168945,703.9249458792237,2815.6997835168945,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,13,35,1.53265759,13,35,True,0.501271944433338,0.6151956240376791,1.53265759,1.45886535,1.5860752425384612,1.4744244967999998,-0.11392367960434113,0.11165074573846145,0.07379223999999995,0.25000000000000006,0.25000000000000006,6.516535277633394,21.53184684131877,0.2951459833204076,0.20842040656923996,0.31540183125999127,0.2222940896736442,True,True,10,0.5029348915595988,0.0803713860122806,0.5029348915595988,0.0803713860122806,,,,,194.868763,28.01926,AG?,0.02,18.07,19.32,1.25,18.957,18.273,17.981,17.7,0.684,0.97599983,,,,,,,,-16.93,False,,Other,dE...,,False,1.2376673243345715e+18,1.546279,1.4968843288803138,19.44061,18.70204,18.3377,0.01648695,0.01424145,0.01676991,0.02756381,0.01906852,0.01416995,19.41304619,18.68297148,18.32353005,True,0.7300747100000002,1.089516139999997,19.37617,18.70203,18.37457,0.01651298,0.01424145,0.0165647,19.34860619,18.68296148,18.36040005,18.9723021111,0.0107839751387107,"SDSS(cModelMag g,r)",18.9723021111,SDSS,Vmag_sdss,1.089516139999997,0.7300747100000002,SDSS(cModel extcorr),-16.027697888900004,,1.4968843288803138,SDSS,False,3.2,4.790029852417004,,,,1.089516139999997,g-i,,1.0,0.0,3.9364758003449736,9.099940169738574,3.9364758003449736,NGC 4874,6.007658358463847,20254446.138373286,4.251613668608372,6.723889558154812,7.304298487099928,4.251613668608372,1.4562950335224754,0.07636255647752455,1.4487039152380334,0.010161434761966515,-0.001879218634586871,0.07567145863458682,1.4608091420402924,0.12526610049816878,1.473320421989998,0.0011040748100017428,-0.011038830049671156,0.12268957578813261,0.6081782877243663,-0.10690634329102833,0.5959062715480556,0.01928935248962349,0.016836188476852504,-0.13075986808119364,0.014386714474160008
LEDA 1821898,31,81,521.5693790534488,2086.2775162137955,521.5693790534488,2086.2775162137955,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,27,79,1.608183789,27,79,True,0.5646827021931224,0.6532507842660102,1.608183789,1.462801311,1.5666353781481481,1.4630012479113925,-0.0885680820728878,0.1036341302367556,0.14538247799999993,0.24999999999999994,0.24999999999999994,15.246432959214307,51.60681195701481,0.17918532332616077,0.1711542101571623,0.17332734877325037,0.20824413406708192,True,True,10,0.5679553156866557,0.03307496336406774,0.5679553156866557,0.03307496336406774,,,,,194.89658333333333,27.934722222222224,GiC,0.013986,18.055,18.894,0.8389988,19.052,18.382,18.634,17.93,0.6700001,0.41799927,18.0,0.22,140.0,SIMBAD,E,2003A&A...412...45P,,-16.945,False,2.25,Members of systems,dE,5309.701121044464,False,1.2376674440486584e+18,1.644091,1.504632345685636,19.03822,18.33431,18.69287,0.02135029,0.01277457,0.03714409,0.03265684,0.02259186,0.01678817,19.00556316,18.31171814,18.67608183,True,0.6938450199999977,0.3294813300000001,19.04652,18.37262,18.63309,0.01436916,0.01167669,0.0226659,19.01386316,18.350028140000003,18.61630183,18.586194598199995,0.0115512837846124,"SDSS(cModelMag g,r)",18.586194598199995,SDSS,Vmag_sdss,0.3294813300000001,0.6938450199999977,SDSS(cModel extcorr),-16.413805401800005,2.25,1.504632345685636,SDSS,False,3.2,4.814823506194036,,,,0.3294813300000001,g-i,13.2,0.7333333333333333,140.0,1.4762016110232756,7.699363667759468,1.4762016110232756,NGC 4874,4.202187406603415,344110770.7383304,2.6925663184285145,2.686683262469344,2.4342679199519517,2.6925663184285145,1.4615754038164568,0.14660838518354313,1.4504199418583492,0.012381369141650778,0.0021432593973626513,0.14323921860263727,1.4674378958366545,0.09919748231149361,1.4749909505217993,-0.011989702610406772,-0.006434009937607316,0.11006814017436292,0.6026199594090891,-0.037937257215966635,0.5945914315768606,0.05865935268914968,0.012772900869922721,-0.10134098294281052,0.04682182123349167
